city,state,scientific_name,tree_count
Hales Corners,Wisconsin,Other,262
Milwaukee,Wisconsin,Acer platanoides,1411
Milwaukee,Wisconsin,Acer saccharum,1356
Milwaukee,Wisconsin,Acer rubrum,912
Milwaukee,Wisconsin,Acer saccharinum,840
Milwaukee,Wisconsin,Tilia cordata,700
Milwaukee,Wisconsin,Other,5939
New Berlin,Wisconsin,Acer platanoides,639
New Berlin,Wisconsin,Acer saccharum,613
New Berlin,Wisconsin,Acer rubrum,478
New Berlin,Wisconsin,Acer saccharinum,300
New Berlin,Wisconsin,Tilia cordata,285
New Berlin,Wisconsin,Other,3955
Oak Creek,Wisconsin,Acer platanoides,37
Oak Creek,Wisconsin,Acer saccharum,25
Oak Creek,Wisconsin,Acer rubrum,13
Oak Creek,Wisconsin,Acer saccharinum,9
Oak Creek,Wisconsin,Tilia cordata,9
Oak Creek,Wisconsin,Other,92
Shorewood,Wisconsin,Acer platanoides,16
Shorewood,Wisconsin,Acer saccharum,14
Shorewood,Wisconsin,Acer rubrum,11
Shorewood,Wisconsin,Acer saccharinum,9
Shorewood,Wisconsin,Tilia cordata,8
Shorewood,Wisconsin,Other,36
South Milwaukee,Wisconsin,Acer platanoides,54
South Milwaukee,Wisconsin,Acer saccharum,45
South Milwaukee,Wisconsin,Acer rubrum,31
South Milwaukee,Wisconsin,Acer saccharinum,28
South Milwaukee,Wisconsin,Tilia cordata,28
South Milwaukee,Wisconsin,Other,245
Watertown,Wisconsin,Acer platanoides,976
Watertown,Wisconsin,Acer saccharum,401
Watertown,Wisconsin,Acer rubrum,397
Watertown,Wisconsin,Acer saccharinum,385
Watertown,Wisconsin,Tilia cordata,354
Watertown,Wisconsin,Other,3632
Wauwatosa,Wisconsin,Acer platanoides,265
Wauwatosa,Wisconsin,Acer saccharum,186
Wauwatosa,Wisconsin,Acer rubrum,171
Wauwatosa,Wisconsin,Acer saccharinum,157
Wauwatosa,Wisconsin,Tilia cordata,151
Wauwatosa,Wisconsin,Other,938
West Allis,Wisconsin,Acer platanoides,348
West Allis,Wisconsin,Acer saccharum,238
West Allis,Wisconsin,Acer rubrum,144
West Allis,Wisconsin,Acer saccharinum,87
West Allis,Wisconsin,Tilia cordata,70
West Allis,Wisconsin,Other,541
West Milwaukee,Wisconsin,Acer platanoides,22
West Milwaukee,Wisconsin,Acer saccharum,19
West Milwaukee,Wisconsin,Acer rubrum,16
West Milwaukee,Wisconsin,Acer saccharinum,13
West Milwaukee,Wisconsin,Tilia cordata,9
West Milwaukee,Wisconsin,Other,31
Whitefish Bay,Wisconsin,Acer platanoides,10
Whitefish Bay,Wisconsin,Acer saccharum,10
Whitefish Bay,Wisconsin,Acer rubrum,8
Whitefish Bay,Wisconsin,Acer saccharinum,7
Whitefish Bay,Wisconsin,Tilia cordata,5
Whitefish Bay,Wisconsin,Other,27
Minneapolis,Minnesota,Acer platanoides,28206
Minneapolis,Minnesota,Acer saccharum,20191
Minneapolis,Minnesota,Acer rubrum,16232
Minneapolis,Minnesota,Acer saccharinum,15362
Minneapolis,Minnesota,Tilia cordata,12745
Minneapolis,Minnesota,Other,96140
Nashville,Tennessee,Acer platanoides,281
Nashville,Tennessee,Acer saccharum,166
Nashville,Tennessee,Acer rubrum,154
Nashville,Tennessee,Acer saccharinum,131
Nashville,Tennessee,Tilia cordata,120
Nashville,Tennessee,Other,1187
New Orleans,Louisiana,Acer platanoides,30244
New Orleans,Louisiana,Acer saccharum,21775
New Orleans,Louisiana,Acer rubrum,5409
New Orleans,Louisiana,Acer saccharinum,4186
New Orleans,Louisiana,Tilia cordata,3471
New Orleans,Louisiana,Other,38987
